,title,source,date,link
0,Mantan Menkeu Inggris Maju Mau Gantikan Boris Johnson,CNBC Indonesia,5 jam lalu,https://www.cnbcindonesia.com/news/20220709111823-4-354240/mantan-menkeu-inggris-maju-mau-gantikan-boris-johnson
1,"Ada 45 Emiten Terbitkan Obligasi dan Sukuk Senilai Rp 72,85 T",CNBC Indonesia,8 jam lalu,https://www.cnbcindonesia.com/market/20220709090935-17-354210/ada-45-emiten-terbitkan-obligasi-dan-sukuk-senilai-rp-7285-t
2,Jreengg... Elon Musk Batal Beli Twitter!,CNBC Indonesia,4 jam lalu,https://www.cnbcindonesia.com/market/20220709130313-17-354250/jreengg-elon-musk-batal-beli-twitter
3,Kamu Mau ke Luar Negeri? Booster Dulu! Wajib Mulai 17 Juli,CNBC Indonesia,6 jam lalu,https://www.cnbcindonesia.com/news/20220709105204-4-354237/kamu-mau-ke-luar-negeri-booster-dulu-wajib-mulai-17-juli
4,"Inflasi Merajalela, Pengusaha Antisipasi Kenaikan Harga",CNBC Indonesia,1 jam lalu,https://www.cnbcindonesia.com/news/20220707130734-8-353720/inflasi-merajalela-pengusaha-antisipasi-kenaikan-harga
5,"Data Tenaga Kerja AS Tetap Kuat, Masih Bakal Resesi Gak?",CNBC Indonesia,5 jam lalu,https://www.cnbcindonesia.com/news/20220709112529-4-354241/data-tenaga-kerja-as-tetap-kuat-masih-bakal-resesi-gak
6,"KB Bukopin Makin Dipercaya Dunia Internasional, Ini Buktinya",CNBC Indonesia,8 jam lalu,https://www.cnbcindonesia.com/market/20220709080544-17-354207/kb-bukopin-makin-dipercaya-dunia-internasional-ini-buktinya
7,"Ini Deretan Saham Tercuan & Terboncos, Ada Punya Kamu?",CNBC Indonesia,1 jam lalu,https://www.cnbcindonesia.com/market/20220709151642-20-354266/ini-deretan-saham-tercuan-terboncos-ada-punya-kamu
8,"Harga Emas Merosot Terus Nih, Ambles 4 Pekan Beruntun",CNBC Indonesia,3 jam lalu,https://www.cnbcindonesia.com/market/20220709124150-17-354246/harga-emas-merosot-terus-nih-ambles-4-pekan-beruntun
9,"Alert! Krisis Energi Hantam Eropa, Kerusuhan di Depan Mata",CNBC Indonesia,20 jam lalu,https://www.cnbcindonesia.com/news/20220708195232-4-354187/alert-krisis-energi-hantam-eropa-kerusuhan-di-depan-mata
