source,title,timedate,links
Nasional Kompas.com,Anggota Propam Polri Tewas Usai Baku Tembak di Rumah Dinas Pejabat Mabes Polri - Kompas.com,2 jam lalu,https://news.google.com/articles/CBMifWh0dHBzOi8vbmFzaW9uYWwua29tcGFzLmNvbS9yZWFkLzIwMjIvMDcvMTEvMTUyNzU2NzEvYW5nZ290YS1wcm9wYW0tcG9scmktdGV3YXMtdXNhaS1iYWt1LXRlbWJhay1kaS1ydW1haC1kaW5hcy1wZWphYmF0LW1hYmVz0gGBAWh0dHBzOi8vYW1wLmtvbXBhcy5jb20vbmFzaW9uYWwvcmVhZC8yMDIyLzA3LzExLzE1Mjc1NjcxL2FuZ2dvdGEtcHJvcGFtLXBvbHJpLXRld2FzLXVzYWktYmFrdS10ZW1iYWstZGktcnVtYWgtZGluYXMtcGVqYWJhdC1tYWJlcw?hl=id&gl=ID&ceid=ID%3Aid
Tribunnews,"Anggota Brimob Asal Jambi Tewas, Terdapat 4 Luka Tembak di Tubuh dan Sejumlah Luka Akibat Sajam",1 jam lalu,https://news.google.com/articles/CCAiC1IyajQwaHJpQmtFmAEB?hl=id&gl=ID&ceid=ID%3Aid
Kompas TV,Kronologi Brigadir J Ditembak Polisi Bharada E di Rumah Irjen Ferdy Sambo,45 menit lalu,https://news.google.com/articles/CAIiEOoaCbSL6Kg8HhIxr89VjJMqGQgEKhAIACoHCAow3pf_CjDOlfgCMKSslQc?uo=CAUibmh0dHBzOi8vd3d3LmtvbXBhcy50di9hcnRpY2xlLzMwNzk0Ni9rcm9ub2xvZ2ktYnJpZ2FkaXItai1kaXRlbWJhay1wb2xpc2ktYmhhcmFkYS1lLWRpLXJ1bWFoLWlyamVuLWZlcmR5LXNhbWJv0gEA&hl=id&gl=ID&ceid=ID%3Aid
detikNews,"Polisi Tembak Polisi di Rumah Pejabat Polri, Brigadir J dari Propam Tewas",3 jam lalu,https://news.google.com/articles/CBMicGh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjE3MzQwOS9wb2xpc2ktdGVtYmFrLXBvbGlzaS1kaS1ydW1haC1wZWphYmF0LXBvbHJpLWJyaWdhZGlyLWotZGFyaS1wcm9wYW0tdGV3YXPSAXRodHRwczovL25ld3MuZGV0aWsuY29tL2Jlcml0YS9kLTYxNzM0MDkvcG9saXNpLXRlbWJhay1wb2xpc2ktZGktcnVtYWgtcGVqYWJhdC1wb2xyaS1icmlnYWRpci1qLWRhcmktcHJvcGFtLXRld2FzL2FtcA?hl=id&gl=ID&ceid=ID%3Aid
detikNews,IPW: Brigadir Yosua yang Ditembak Bharada E Adalah Ajudan Kadiv Propam,1 jam lalu,https://news.google.com/articles/CBMibWh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjE3MzY4My9pcHctYnJpZ2FkaXIteW9zdWEteWFuZy1kaXRlbWJhay1iaGFyYWRhLWUtYWRhbGFoLWFqdWRhbi1rYWRpdi1wcm9wYW3SAXFodHRwczovL25ld3MuZGV0aWsuY29tL2Jlcml0YS9kLTYxNzM2ODMvaXB3LWJyaWdhZGlyLXlvc3VhLXlhbmctZGl0ZW1iYWstYmhhcmFkYS1lLWFkYWxhaC1hanVkYW4ta2FkaXYtcHJvcGFtL2FtcA?hl=id&gl=ID&ceid=ID%3Aid
CNN Indonesia,Ibu Pembunuh Shinzo Abe Anggota Gereja Sekte Kristen di Jepang,3 jam lalu,https://news.google.com/articles/CAIiEERvwBtDbRrWwvm-H23MCEkqMwgEKioIACIQ3Sax1OtL6IZjpKEyJBUKryoUCAoiEN0msdTrS-iGY6ShMiQVCq8wsr-BBw?uo=CAUigwFodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL2ludGVybmFzaW9uYWwvMjAyMjA3MTExNDI2MTYtMTEzLTgxOTk4Ni9pYnUtcGVtYnVudWgtc2hpbnpvLWFiZS1hbmdnb3RhLWdlcmVqYS1zZWt0ZS1rcmlzdGVuLWRpLWplcGFuZ9IBAA&hl=id&gl=ID&ceid=ID%3Aid
detikNews,Pembunuh Shinzo Abe: Identitas dan Motif Tembak Shinzo Abe,2 jam lalu,https://news.google.com/articles/CBMiaGh0dHBzOi8vbmV3cy5kZXRpay5jb20vaW50ZXJuYXNpb25hbC9kLTYxNzM0NjIvcGVtYnVudWgtc2hpbnpvLWFiZS1pZGVudGl0YXMtZGFuLW1vdGlmLXRlbWJhay1zaGluem8tYWJl0gFsaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9pbnRlcm5hc2lvbmFsL2QtNjE3MzQ2Mi9wZW1idW51aC1zaGluem8tYWJlLWlkZW50aXRhcy1kYW4tbW90aWYtdGVtYmFrLXNoaW56by1hYmUvYW1w?hl=id&gl=ID&ceid=ID%3Aid
Ayo Bandung,"Shinzo Abe, Nasionalis Sayap Kanan Tewas di Kota Kuno - Ayo Bandung",Kemarin,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmF5b2JhbmR1bmcuY29tL25ldGl6ZW4vcHItNzkzODU2MDQ0L3NoaW56by1hYmUtbmFzaW9uYWxpcy1zYXlhcC1rYW5hbi10ZXdhcy1kaS1rb3RhLWt1bm_SAWhodHRwczovL3d3dy5heW9iYW5kdW5nLmNvbS9uZXRpemVuL2FtcC9wci03OTM4NTYwNDQvc2hpbnpvLWFiZS1uYXNpb25hbGlzLXNheWFwLWthbmFuLXRld2FzLWRpLWtvdGEta3Vubw?hl=id&gl=ID&ceid=ID%3Aid
CNN Indonesia,Curhat Warga Jepang Sakit Hati atas Pembunuhan Shinzo Abe,2 jam lalu,https://news.google.com/articles/CBMifmh0dHBzOi8vd3d3LmNubmluZG9uZXNpYS5jb20vaW50ZXJuYXNpb25hbC8yMDIyMDcxMTE1MzgxMS0xMTMtODIwMDIzL2N1cmhhdC13YXJnYS1qZXBhbmctc2FraXQtaGF0aS1hdGFzLXBlbWJ1bnVoYW4tc2hpbnpvLWFiZdIBggFodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL2ludGVybmFzaW9uYWwvMjAyMjA3MTExNTM4MTEtMTEzLTgyMDAyMy9jdXJoYXQtd2FyZ2EtamVwYW5nLXNha2l0LWhhdGktYXRhcy1wZW1idW51aGFuLXNoaW56by1hYmUvYW1w?hl=id&gl=ID&ceid=ID%3Aid
detikNews,"Tiba di Jepang, Menlu AS Akan Sampaikan Duka Meninggalnya Shinzo Abe",11 jam lalu,https://news.google.com/articles/CBMicmh0dHBzOi8vbmV3cy5kZXRpay5jb20vaW50ZXJuYXNpb25hbC9kLTYxNzI2NjkvdGliYS1kaS1qZXBhbmctbWVubHUtYXMtYWthbi1zYW1wYWlrYW4tZHVrYS1tZW5pbmdnYWxueWEtc2hpbnpvLWFiZdIBdmh0dHBzOi8vbmV3cy5kZXRpay5jb20vaW50ZXJuYXNpb25hbC9kLTYxNzI2NjkvdGliYS1kaS1qZXBhbmctbWVubHUtYXMtYWthbi1zYW1wYWlrYW4tZHVrYS1tZW5pbmdnYWxueWEtc2hpbnpvLWFiZS9hbXA?hl=id&gl=ID&ceid=ID%3Aid
