Channels,Times,Titles,Subtitles,Links
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/market/20220720065827-17-356874/nggak-ngomong-ngomong-harga-emas-sudah-naik-3-hari-beruntun
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/market/20220720071513-17-356878/harga-minyak-naik-1-gara-gara-amerika
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/news/20220720175709-4-357212/eropa-sedang-tak-baik-baik-saja-ada-neraka-ada-kiamat
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/market/20220719212021-17-356861/indeks-dolar-as-jeblok-rupiah-bisa-menguat-3-hari-beruntun
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/market/20220719144126-17-356775/analis-emas-sedang-koma
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/market/20220719065249-17-356584/breaking-news-harga-minyak-dunia-memanas-naik-5-lebih
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/market/20220718070629-17-356308/harga-emas-mulai-menanjak-semoga-bukan-harapan-palsu
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/market/20220718173512-17-356535/inflasi-eropa-diramal-meroket-awas-rupiah-bisa-keok
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/news/20220720133301-4-357072/jangan-kaget-resesi-ekonomi-as-disebut-palsu-ini-faktanya
CNBC Indonesia,2 jam lalu,Eh... Saham Emiten Erick Thohir Masuk Jajaran Top Gainers,"Jakarta, CNBC Indonesia - Indeks Harga Saham Gabungan (IHSG) ditutup 
melonjak lebih dari 2% pada perdagangan Rabu (20/7/2022) kemarin.",https://www.cnbcindonesia.com/market/20220719083706-17-356611/duh-mayoritas-bursa-asia-melemah-semoga-ihsg-kuat
