source,title,timedate,links
Tribunnews.com,"Ajudan Irjen Ferdy Sambo Ditembak, Kapolri Diminta Nonaktifkan Kadiv Propam, IPW: Beliau Saksi Kunci",2022-07-11T10:23:24Z,https://news.google.com/articles/CAIiEBAyWcRaEsaLzDtGejLjQO8qGQgEKhAIACoHCAow5o6OCzDE5aADMOO01AY?uo=CAUikAFodHRwczovL3d3dy50cmlidW5uZXdzLmNvbS9uYXNpb25hbC8yMDIyLzA3LzExL2FqdWRhbi1pcmplbi1mZXJkeS1zYW1iby1kaXRlbWJhay1rYXBvbHJpLWRpbWludGEtbm9uYWt0aWZrYW4ta2FkaXYtcHJvcGFtLWlwdy1iZWxpYXUtc2Frc2kta3VuY2nSAQA&hl=id&gl=ID&ceid=ID%3Aid
KOMPASTV,Kronologi Brigadir J Ditembak Polisi Bharada E di Rumah Irjen Ferdy Sambo,2022-07-11T10:27:31Z,https://news.google.com/articles/CCAiC3ViV29IX0VybHEwmAEB?hl=id&gl=ID&ceid=ID%3Aid
Tribunnews.com,"Polisi Tembak Polisi, Keluarga Temukan 4 Bekas Luka Tembakan pada Jenazah Brigpol Yosua",2022-07-11T10:28:32Z,https://news.google.com/articles/CAIiEMf747LKG2Pcv0tsIvkkp84qGQgEKhAIACoHCAow5o6OCzDE5aADMO2LqwY?uo=CAUihQFodHRwczovL3d3dy50cmlidW5uZXdzLmNvbS9uYXNpb25hbC8yMDIyLzA3LzExL3BvbGlzaS10ZW1iYWstcG9saXNpLWtlbHVhcmdhLXRlbXVrYW4tNC1iZWthcy1sdWthLXRlbWJha2FuLXBhZGEtamVuYXphaC1icmlncG9sLXlvc3Vh0gEA&hl=id&gl=ID&ceid=ID%3Aid
detikNews,"Polisi Tembak Polisi di Rumah Pejabat Polri, Brigadir J dari Propam Tewas",2022-07-11T08:00:08Z,https://news.google.com/articles/CBMicGh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjE3MzQwOS9wb2xpc2ktdGVtYmFrLXBvbGlzaS1kaS1ydW1haC1wZWphYmF0LXBvbHJpLWJyaWdhZGlyLWotZGFyaS1wcm9wYW0tdGV3YXPSAXRodHRwczovL25ld3MuZGV0aWsuY29tL2Jlcml0YS9kLTYxNzM0MDkvcG9saXNpLXRlbWJhay1wb2xpc2ktZGktcnVtYWgtcGVqYWJhdC1wb2xyaS1icmlnYWRpci1qLWRhcmktcHJvcGFtLXRld2FzL2FtcA?hl=id&gl=ID&ceid=ID%3Aid
detikNews,8 Hal yang Diketahui dari Penembakan Maut Ajudan Kadiv Propam,2022-07-11T10:25:36Z,https://news.google.com/articles/CBMiZWh0dHBzOi8vbmV3cy5kZXRpay5jb20vYmVyaXRhL2QtNjE3MzgzMi84LWhhbC15YW5nLWRpa2V0YWh1aS1kYXJpLXBlbmVtYmFrYW4tbWF1dC1hanVkYW4ta2FkaXYtcHJvcGFt0gFpaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9iZXJpdGEvZC02MTczODMyLzgtaGFsLXlhbmctZGlrZXRhaHVpLWRhcmktcGVuZW1iYWthbi1tYXV0LWFqdWRhbi1rYWRpdi1wcm9wYW0vYW1w?hl=id&gl=ID&ceid=ID%3Aid
CNN Indonesia,Ibu Pembunuh Shinzo Abe Anggota Gereja Sekte Kristen di Jepang,2022-07-11T07:42:07Z,https://news.google.com/articles/CAIiEERvwBtDbRrWwvm-H23MCEkqMwgEKioIACIQ3Sax1OtL6IZjpKEyJBUKryoUCAoiEN0msdTrS-iGY6ShMiQVCq8wsr-BBw?uo=CAUigwFodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL2ludGVybmFzaW9uYWwvMjAyMjA3MTExNDI2MTYtMTEzLTgxOTk4Ni9pYnUtcGVtYnVudWgtc2hpbnpvLWFiZS1hbmdnb3RhLWdlcmVqYS1zZWt0ZS1rcmlzdGVuLWRpLWplcGFuZ9IBAA&hl=id&gl=ID&ceid=ID%3Aid
detikNews,Pembunuh Shinzo Abe: Identitas dan Motif Tembak Shinzo Abe,2022-07-11T08:15:55Z,https://news.google.com/articles/CBMiaGh0dHBzOi8vbmV3cy5kZXRpay5jb20vaW50ZXJuYXNpb25hbC9kLTYxNzM0NjIvcGVtYnVudWgtc2hpbnpvLWFiZS1pZGVudGl0YXMtZGFuLW1vdGlmLXRlbWJhay1zaGluem8tYWJl0gFsaHR0cHM6Ly9uZXdzLmRldGlrLmNvbS9pbnRlcm5hc2lvbmFsL2QtNjE3MzQ2Mi9wZW1idW51aC1zaGluem8tYWJlLWlkZW50aXRhcy1kYW4tbW90aWYtdGVtYmFrLXNoaW56by1hYmUvYW1w?hl=id&gl=ID&ceid=ID%3Aid
Ayo Bandung,"Shinzo Abe, Nasionalis Sayap Kanan Tewas di Kota Kuno - Ayo Bandung",2022-07-10T05:43:00Z,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmF5b2JhbmR1bmcuY29tL25ldGl6ZW4vcHItNzkzODU2MDQ0L3NoaW56by1hYmUtbmFzaW9uYWxpcy1zYXlhcC1rYW5hbi10ZXdhcy1kaS1rb3RhLWt1bm_SAWhodHRwczovL3d3dy5heW9iYW5kdW5nLmNvbS9uZXRpemVuL2FtcC9wci03OTM4NTYwNDQvc2hpbnpvLWFiZS1uYXNpb25hbGlzLXNheWFwLWthbmFuLXRld2FzLWRpLWtvdGEta3Vubw?hl=id&gl=ID&ceid=ID%3Aid
CNN Indonesia,Gereja Unifikasi Jepang Jawab soal Dugaan Keanggotaan Shinzo Abe,2022-07-11T10:47:59Z,https://news.google.com/articles/CAIiEKzjMoZu2newIb2Mad8-aLQqMwgEKioIACIQ3Sax1OtL6IZjpKEyJBUKryoUCAoiEN0msdTrS-iGY6ShMiQVCq8wsr-BBw?uo=CAUihQFodHRwczovL3d3dy5jbm5pbmRvbmVzaWEuY29tL2ludGVybmFzaW9uYWwvMjAyMjA3MTExNzA4NTUtMTEzLTgyMDA4Ny9nZXJlamEtdW5pZmlrYXNpLWplcGFuZy1qYXdhYi1zb2FsLWR1Z2Fhbi1rZWFuZ2dvdGFhbi1zaGluem8tYWJl0gEA&hl=id&gl=ID&ceid=ID%3Aid
detikNews,Fakta Baru Pembunuh Shinzo Abe: dari Motif hingga Senjata,2022-07-10T22:30:37Z,https://news.google.com/articles/CBMiZ2h0dHBzOi8vbmV3cy5kZXRpay5jb20vaW50ZXJuYXNpb25hbC9kLTYxNzI2MzMvZmFrdGEtYmFydS1wZW1idW51aC1zaGluem8tYWJlLWRhcmktbW90aWYtaGluZ2dhLXNlbmphdGHSAWtodHRwczovL25ld3MuZGV0aWsuY29tL2ludGVybmFzaW9uYWwvZC02MTcyNjMzL2Zha3RhLWJhcnUtcGVtYnVudWgtc2hpbnpvLWFiZS1kYXJpLW1vdGlmLWhpbmdnYS1zZW5qYXRhL2FtcA?hl=id&gl=ID&ceid=ID%3Aid
