name,use,win,ban
Miya,2.56%,49.58%,0.81%
Balmond,1.77%,47.56%,0.67%
Saber,1.57%,48.4%,1.24%
Alice,0.16%,47.78%,0.1%
Nana,3.36%,50.19%,7.39%
Tigreal,1.66%,47.01%,0.71%
Alucard,0.62%,44.68%,0.18%
Karina,1.74%,50.95%,42.52%
Akai,1.33%,49.59%,40.55%
Franco,3.79%,49.46%,10.15%
Bane,0.41%,47.47%,0.11%
Bruno,0.56%,49.18%,0.11%
Clint,1.35%,51.9%,0.18%
Rafaela,0.34%,46.26%,0.18%
Eudora,1.2%,46.97%,0.42%
Zilong,2.28%,47.7%,0.61%
Fanny,0.81%,48.08%,5.92%
Layla,1.79%,45.43%,1.19%
Minotaur,0.15%,49.65%,0.14%
Lolita,0.18%,56.63%,0.11%
Hayabusa,0.62%,48.06%,0.28%
Freya,0.37%,49.83%,0.07%
Gord,0.48%,47.83%,0.12%
Natalia,0.68%,51.78%,14.39%
Kagura,0.78%,51.83%,0.14%
Chou,1.32%,46.96%,0.14%
Sun,1.54%,52.06%,1.4%
Alpha,0.7%,48.94%,0.07%
Ruby,0.72%,52.39%,0.06%
Yi Sun-shin,0.35%,54.36%,0.08%
Moskov,2.57%,52.2%,3.1%
Johnson,2.25%,52.15%,5.29%
Cyclops,0.85%,50.78%,0.08%
Estes,0.58%,49.73%,8.35%
Hilda,0.64%,49.42%,0.93%
Aurora,0.18%,48.59%,0.03%
Lapu-Lapu,0.15%,48.08%,0.02%
Vexana,1.02%,45.34%,11.11%
Roger,0.96%,49.06%,0.2%
Karrie,1.06%,47.75%,0.15%
Gatotkaca,1.31%,51.4%,0.49%
Harley,0.86%,48.74%,0.94%
Irithel,1.15%,51.94%,0.33%
Grock,0.27%,47.82%,0.09%
Argus,0.27%,52.92%,0.06%
Odette,0.57%,48.32%,0.08%
Lancelot,1.37%,47.02%,7.35%
Diggie,0.17%,49.35%,0.23%
Hylos,0.56%,52.53%,0.08%
Zhask,0.48%,51.8%,0.14%
Helcurt,0.3%,50.97%,0.3%
Pharsa,0.49%,46.26%,0.05%
Lesley,1.5%,48.28%,0.28%
Jawhead,0.45%,46.06%,0.07%
Angela,1.46%,47.29%,0.75%
Gusion,1.16%,49.08%,1.69%
Valir,0.54%,49.02%,0.1%
Martis,0.3%,45.1%,0.04%
Uranus,0.26%,49.57%,0.04%
Hanabi,0.91%,49.34%,0.13%
Chang'e,0.64%,50.28%,0.06%
Kaja,0.13%,51.7%,0.05%
Selena,1.55%,50.23%,7.55%
Aldous,1.71%,51.29%,12.12%
Claude,0.66%,50.87%,0.07%
Vale,1.97%,50.83%,7.18%
Leomord,1.08%,48.48%,2.46%
Lunox,0.22%,52.59%,0.04%
Hanzo,0.35%,49.51%,2.06%
Belerick,0.34%,53.31%,0.06%
Kimmy,0.3%,50.61%,0.08%
Thamuz,1.61%,52.07%,4.4%
Harith,0.13%,45.78%,0.03%
Minsitthar,0.14%,49.12%,0.03%
Kadita,0.51%,51.58%,0.14%
Faramis,0.3%,43.43%,11.25%
Badang,0.48%,47.63%,0.04%
Khufra,0.57%,53.11%,0.25%
Granger,0.55%,46.5%,0.05%
Guinevere,0.77%,49.73%,0.11%
Esmeralda,1.37%,51.35%,0.77%
Terizla,0.78%,57.94%,1.36%
X.Borg,0.61%,49.23%,0.11%
Ling,1.38%,53.17%,17.95%
Dyrroth,1.91%,47.55%,0.41%
Lylia,0.67%,51.53%,0.34%
Baxia,0.2%,49.41%,0.09%
Masha,0.28%,55.97%,0.87%
Wanwan,1.37%,51.88%,51.51%
Silvanna,0.66%,49.9%,0.07%
Cecilion,1.96%,53.04%,5.34%
Carmilla,0.07%,51.47%,0.06%
Atlas,0.94%,56.66%,1.54%
Popol and Kupa,1.26%,52.65%,1.57%
Yu Zhong,0.56%,50.43%,0.07%
Luo Yi,0.74%,50.11%,0.7%
Benedetta,0.24%,47.5%,0.1%
Khaleed,0.1%,51.97%,0.03%
Barats,0.21%,50.01%,0.11%
Brody,0.63%,49.69%,0.09%
Yve,0.27%,53.12%,0.32%
Mathilda,0.19%,49.38%,0.14%
Paquito,0.69%,49.42%,0.6%
Gloo,0.11%,51.67%,0.1%
Beatrix,2.25%,50%,3.22%
Phoveus,0.16%,53.15%,0.17%
Natan,0.6%,49.6%,0.71%
Aulus,0.38%,52.8%,0.4%
Aamon,0.42%,46.57%,1.88%
Valentina,0.58%,53.8%,25.81%
Edith,0.36%,46.74%,0.18%
Floryn,0.23%,45.91%,0.11%
Yin,1.26%,49.74%,44.09%
Melissa,0.46%,51.36%,1.21%
Xavier,1.3%,55.78%,34.42%
Julian,0.98%,52.72%,71.4%
