Ep.,Airdate(Filming date),Title,Guest(s),Teams,Teams.1,Mission,Results,Ref.
586[A][B],"January 2, 2022(December 13 & 26, 2021)",Renyin Year: Duplicate Loan Race(임인년－복채대출 레이스),No Guests,No Teams,No Teams,"The members must pay ₩ 7,000,000 fortune teller fees before KST 3:00PM to avoid penalty.","Mission FailedKim Jong-kook and Yang Se-chan, who were drawn by the penalty ball, had to film a 1-minute video of themselves watching Running Man. The video was then aired at KST 5:00PM as a penalty.",[2]
587,"January 9, 2022(December 27, 2021)",The Seniority War of The Youngest Members(막내들의 서열전쟁),No Guests,"Musical Chairs with No HierarchyJeon So-min Team(Jeon So-min, Yoo Jae-suk, Ji Suk-jin)Yang Se-chan Team(Yang Se-chan, Haha, Kim Jong-kook, Song Ji-hyo)","The Youngest's Winning GameJeon So-min Team(Jeon So-min, Yoo Jae-suk, Kim Jong-kook)Yang Se-chan Team(Yang Se-chan, Haha, Ji Suk-jin, Song Ji-hyo)",The Youngest Member's MissionHave a lesser amount of vote to avoid from being the youngest and to avoid the penalty.Other Member's MissionBe the top 2 with the winner's coin and without being chosen by the youngest to avoid penalty.,"Yang Se-chan WinsYoo Jae-suk and Kim Jong-kook, who were the top 2, were exempted from the penalty. Jeon So-min was be crowned the ""2022's Youngest Member of Running Man"" and chose Song Ji-hyo to shoot the preview for this episode together as a penalty after the filming.",[3]
588,"January 16, 2022(January 10, 2022)","""Height"" Point('키'포인트)",Irene KimJoo Woo-jaeLee Hyun-yi [ko]Song Hae-na [ko],"Tall Team(Yoo Jae-suk, Kim Jong-kook, Irene Kim, Lee Hyun-yi)Short Team(Haha, Song Ji-hyo, Song Hae-na)Average Team(Ji Suk-jin, Jeon So-min, Yang Se-chan, Joo Woo-jae)","Tall Team(Yoo Jae-suk, Kim Jong-kook, Irene Kim, Lee Hyun-yi)Short Team(Haha, Song Ji-hyo, Song Hae-na)Average Team(Ji Suk-jin, Jeon So-min, Yang Se-chan, Joo Woo-jae)",Being the tallest team at the end of the race to receive prizes and avoid penalty,"Tall Team WinsThe members of Tall Team each received a Korean beef set. Song Hae-na, who was the shortest along with Song Ji-hyo and Jeon So-min, was exempted from the penalty through luck. Song Ji-hyo and Jeon So-min received the whipped cream penalty.",[4]
589,"January 23, 2022(January 10 & 17 2022)","""Height"" Point('키'포인트)",Irene KimJoo Woo-jaeLee Hyun-yi [ko]Song Hae-na [ko],"Tall Team(Yoo Jae-suk, Kim Jong-kook, Irene Kim, Lee Hyun-yi)Short Team(Haha, Song Ji-hyo, Song Hae-na)Average Team(Ji Suk-jin, Jeon So-min, Yang Se-chan, Joo Woo-jae)","Tall Team(Yoo Jae-suk, Kim Jong-kook, Irene Kim, Lee Hyun-yi)Short Team(Haha, Song Ji-hyo, Song Hae-na)Average Team(Ji Suk-jin, Jeon So-min, Yang Se-chan, Joo Woo-jae)",Being the tallest team at the end of the race to receive prizes and avoid penalty,"Tall Team WinsThe members of Tall Team each received a Korean beef set. Song Hae-na, who was the shortest along with Song Ji-hyo and Jeon So-min, was exempted from the penalty through luck. Song Ji-hyo and Jeon So-min received the whipped cream penalty.",[4]
589,"January 23, 2022(January 10 & 17 2022)",Renyin Year's Tangun Myth(임인년 단군신화),Bae Seul-kiEunhyuk (Super Junior)Hong Soo-ah,"Mission Team(Yoo Jae-suk, Haha, Kim Jong-kook, Song Ji-hyo, Jeon So-min, Yang Se-chan, Bae Seul-ki, Hong Soo-ah)Poachers(Ji Suk-jin, Eunhyuk)","Mission Team(Yoo Jae-suk, Haha, Kim Jong-kook, Song Ji-hyo, Jeon So-min, Yang Se-chan, Bae Seul-ki, Hong Soo-ah)Poachers(Ji Suk-jin, Eunhyuk)",Be the Top 3 with the most garlic cloves to receive a prize and without being the Bottom 3 with the least garlic cloves at the end of the race to avoid penalty,"Poachers and Bae Seul-ki WinsJi Suk-jin, Bae Seul-ki and Eunhyuk each received a barley croaker and king ribs set. Kim Jong-kook, Jeon So-min and Hong Soo-ah, who were the Bottom 3 with the least garlic cloves, had to mince the garlic after the filming as a penalty.",[5]
590,"January 30, 2022(January 17, 2022)",Renyin Year's Tangun Myth Part.2(임인년 단군신화 II),Bae Seul-kiEunhyuk (Super Junior)Hong Soo-ah,"Mission Team(Yoo Jae-suk, Haha, Kim Jong-kook, Song Ji-hyo, Jeon So-min, Yang Se-chan, Bae Seul-ki, Hong Soo-ah)Poachers(Ji Suk-jin, Eunhyuk)","Mission Team(Yoo Jae-suk, Haha, Kim Jong-kook, Song Ji-hyo, Jeon So-min, Yang Se-chan, Bae Seul-ki, Hong Soo-ah)Poachers(Ji Suk-jin, Eunhyuk)",Be the Top 3 with the most garlic cloves to receive a prize and without being the Bottom 3 with the least garlic cloves at the end of the race to avoid penalty,"Poachers and Bae Seul-ki WinsJi Suk-jin, Bae Seul-ki and Eunhyuk each received a barley croaker and king ribs set. Kim Jong-kook, Jeon So-min and Hong Soo-ah, who were the Bottom 3 with the least garlic cloves, had to mince the garlic after the filming as a penalty.",[5]
591[C][D],"February 6, 2022(January 24, 2022)",Se-ri and Birdie Buddy(세리와 버디버디),Park Se-ri,"The Sticking GolfOld Man Team(Yoo Jae-suk, Ji Suk-jin, Kim Jong-kook)Park Se-ri Team(Park Se-ri, Haha, Yang Se-chan)","The Sticking GolfOld Man Team(Yoo Jae-suk, Ji Suk-jin, Kim Jong-kook)Park Se-ri Team(Park Se-ri, Haha, Yang Se-chan)",Collect enough money to buy the prize and to buy the Penalty Exemption Card to avoid penalty,"Yoo Jae-suk, Haha, Ji Suk-jin and Kim Jong-kook WinsYoo Jae-suk, Haha, Ji Suk-jin and Kim Jong-kook each purchased a penalty exemption card and were exempted from the penalty. Haha uses his leftover money to buy the Korean pork set. Yang Se-chan uses his money to buy the coach's penalty ticket. Park Se-ri uses her money to buy 2 of the waffle maker and dough set, one of which was given to Yoo Jae-Suk. Yang Se-Chan and Park Se-ri played another match at the velcro golf course before going home as a penalty.",[8]
592[C][D],"February 20, 2022(January 25, 2022)",The Tazza Association: People Who Read The Minds of Scammers(타짜 협회－꾼의 마음을 읽는 자들),Joo Woo-jae,No Teams,No Teams,Be the top 2 with the most caramel to receive the prize and avoid being chosen by the winner to avoid penalty,Haha and Joo Woo-jae WinsHaha and Joo Woo-jae each received the yokan gold bars (red jelly bean confectionery) present. Yang Se-chan was chosen by Haha to receive the absorbent tissue slap penalty by other members.,
593[E],"February 27, 2022(February 7, 2022)",Casual Ji(JI 편한대로),KCMParc Jae-jungWonstein(MSG Wannabe),"PFC and Gomoku GameOthers Team(Yoo Jae-suk, Haha, Jeon So-min, KCM)Ji Team(Ji Suk-jin, Kim Jong-kook, Song Ji-hyo, Parc Jae-jung, Wonstein)","Do You Want To Hear The Song GameOthers Team(Yoo Jae-suk, Haha, Kim Jong-kook, Song Ji-hyo)Ji Team(Ji Suk-jin, Jeon So-Min, KCM, Parc Jae-jung, Wonstein)",Be the top 2 to receive the prize and avoid being chosen by the winner to avoid the penalty[F],"Ji Suk-jin and Wonstein WinsJi Suk-jin and Wonstein each received a lamb set as a prize. Parc Jae-jung was exempted from the penalty because he was in the Top 2. Yoo Jae-suk, Haha, Kim Jong-kook and KCM were also exempt from the penalty as they correctly guessed the members of Team Ji and received penalty exemption cards. Song Ji-hyo and Jeon So-min, the remaining members, flicked each other's nose as a penalty.",[10]
594,"March 6, 2022(February 21, 2022)",Running Man General Election Race(런닝맨 대선 레이스),Jo Se-ho,"Candidates(Yoo Jae-suk, Haha, Ji Suk-jin, Kim Jong-kook, Jeon So-min, Yang Se-chan)Resigned Candidates(Song Ji-hyo, Jo Se-ho)","Candidates(Yoo Jae-suk, Haha, Ji Suk-jin, Kim Jong-kook, Jeon So-min, Yang Se-chan)Resigned Candidates(Song Ji-hyo, Jo Se-ho)",Have the most votes to be elected as the captain of the team,"Ji Suk-jin WinsJi Suk-jin was elected as the captain of the team. He will be the captain of the team for one month, getting the privilege of appearing at the beginning of the show alongside the show's rating notice, and having Running Man's logo changed to ""Ji Suk-jin's Running Man"" during his term. Final Standings Rank Player Votes 1 Ji Suk-jin 22 2 Haha 21 3 Jeon So-min 13 4 Yoo Jae-suk 5 5 Kim Jong-kook 4 6 Yang Se-chan 3 7 Song Ji-hyo Resigned Jo Se-ho",
