video_id,video_title,upload_date,view_count,like_count,comment_count
uUM9xk0f7xI,Langkah Kemensos Antisipasi Aksi Badan Amal &quot;Nakal&quot;,2022-07-09,159,10,1
sQTzAFnDkqI,"Pengusaha: Petani Sawit Menderita, Terpaksa Jual Langsung ke Malaysia",2022-07-09,878,49,27
xnldby0FcZ0,"Presidensi G20 Indonesia, Recover Together, Recover Stronger",2022-07-08,5178,95,25
keb0JkOsZv0,Pungli! Pejabat BPN Cimahi Terancam Dipecat,2022-07-08,4110,88,60
DT2zxetUjsw,Waspada! Harga Terigu Mie Instan Naik,2022-07-08,4473,80,40
5xC_G_q6eGA,"Optimisme Konsumen RI Turun, Hingga Startup Global PHK Ribuan Karyawan",2022-07-08,7575,97,15
2PLs6rcJRaI,Sepak Terjang Eks PM Jepang Shinzo Abe,2022-07-08,2655,52,8
uo4bh0uytzE,"Tekan Dampak Inflasi, Prancis  Gelontorkan Stimulus EUR 20 Miliar",2022-07-08,3609,43,13
s_3559Vy-yM,Vaksin Booster Jadi Syarat Perjalanan Hingga Masuk Mal,2022-07-08,1735,29,22
fzG9Bf5B4a0,Mantan PM Jepang Shinzo Abe Meninggal Dunia,2022-07-08,102194,1284,411
Zv2Uz9BHfSw,"Putin Kembali Ancam Negara Barat, Ukraina Bisa Menjadi Tragedi",2022-07-08,17468,293,141
NYBZbYJ-mts,Menlu AS Dan Menlu Rusia Hadiri Forum Menlu G-20 Di Bali,2022-07-08,6103,75,18
8RM8LMplrrQ,"Izin Tambang Balik ke Pemda, Penambang Harap Lebih Sederhana",2022-07-08,1049,27,3
6sCDm38Yy8A,Siasat Pengembang Tekan Harga Jual Rumah di Era Bunga Tinggi,2022-07-08,1331,20,3
BDKtvBMxPoE,"RI Waspadai Capital Outflow di Pasar SBN, Apa Risikonya?",2022-07-08,3623,58,7
Xn3iG0GrKzs,"Market Focus: IHSG Menguat 1,32% Hingga Harga Minyak Naik Lagi",2022-07-08,3056,36,4
Wf4XgnwrldE,Haji Jadi Sumber Kekayaan Tak Terbatas Arab Saudi,2022-07-08,4679,61,91
LljN90N_xiA,"G20 Tingkat Menlu Dibuka, Isu Krisis Global Jadi Topik Utama",2022-07-08,24229,424,82
HdsfIYGCsxs,"Menlu Biden  Menlu Putin Hadiri G20, Mau Ketemu 4 Mata?",2022-07-08,20627,292,37
uTBr1Fbgv5I,Ekonom: Kenaikan Cadev Juni Jadi &quot;Bumper&quot; RI Jaga Rupiah,2022-07-08,1122,20,13
fuDOaeNgPa0,"PASPI: Stok CPO Melimpah, RI Perlu Dorong Konsumsi Domestik Lewat B30",2022-07-08,8577,117,116
UTkMCyAuK_4,"Waspada Badai Inflasi Dekati ASEAN, Indonesia Harus Lakukan Ini!",2022-07-08,3636,43,22
K829Lb-aRnk,"Bikin Dilema, Lonjakan Stok Sawit RI Bikin Harga CPO Anjlok",2022-07-08,28477,245,382
0j5KCrf6Nkk,Pelaku Penembakan Eks Perdana Menteri Jepang Shinzo Abe Terungkap,2022-07-08,294998,2513,651
omX1pf7zfO0,"Eks Perdana Menteri Jepang, Shinzo Abe Ditembak Orang Tidak Dikenal",2022-07-08,15071,141,69
G5axXvvqsv0,"Dirundung Skandal, Boris Johnson Akhirnya Resign",2022-07-08,9852,150,41
in1qpER2J_s,"Pasokan Stabil, Malaysia Tak Lagi Krisis Ayam",2022-07-08,2501,39,39
kchnGqMvnsE,"Waduh, Taiwan Boikot Mie Sedaap",2022-07-08,203815,1650,1421
l4nxP5E2ugI,Sederet Penopang &quot;Daya Tahan&quot; Rupiah Hadapi Dinamika Global,2022-07-08,1595,34,10
sjo_ackh2lY,"Rumah Mewah Seken Banyak Dicari, Segini Harganya",2022-07-07,4670,52,13
rDbmGsJsUYg,Menkeu : Masyarakat Semakin Sulit Punya Rumah,2022-07-07,4771,62,39
Hb2pkYB7j0o,Ini 5 Jurus Prabowo Lawan Krisis Global,2022-07-07,35537,387,169
9ofIm2wqFo4,"Cadev Indonesia Naik USD 800 Juta, Hingga Bos IMF Bawa Kabar Buruk Soal Resesi Global",2022-07-07,31133,235,114
6jlbH2pIDcY,Perdana Menteri Inggris Boris Johnson Mundur,2022-07-07,178986,1641,1169
6LcpFHA95l8,"PM Inggris, Boris Johnson Mengundurkan Diri",2022-07-07,124395,1585,952
38H31fVZKx4,Investasi Properti di Barat Jakarta Makin Menjanjikan,2022-07-07,7594,119,34
Xz1Q9LuiyHM,"Harga Pangan Melonjak, Margin Industri Mamin Tergerus 15%",2022-07-07,4108,39,7
lyojrUfIp7w,"Pengusaha Happy PPKM Level 1, Aktivitas Bisnis Mulai &quot;Normal&quot;",2022-07-07,3578,14,1
IWhUe4d29BM,Menkeu : Masyarakat Semakin Sulit Untuk Mendapatkan Rumah,2022-07-07,33132,296,257
C1PCVIvyBVA,Pimpinan FBI  MI5 Peringatkan Ancaman Spionase China,2022-07-07,23764,298,282
