video_id,video_title,upload_date,view_count,like_count,comment_count
jNOJjo7fUxY,How is Karma and Moksha Defined in Islam - Dr Zakir Naik,2022-07-19,13430,751,141
fWk0t8iRfkc,Should we Trust in Allah and keep the Mosques Open during Coronavirus COVID 19? - Dr Zakir Naik,2022-07-18,10207,711,230
6RqIMWnJARk,Does the Quran specifically speak about Hinduism? - Dr Zakir Naik,2022-07-16,15410,888,222
78QdkAA8vfY,"Rose Asks Dr Zakir, “Jesus (pbuh) was Born Miraculously. How was Prophet Muhammad (pbuh) Born?”",2022-07-15,13377,827,344
WY6Q0q-ckpc,What is the Significance of Kaa&#39;bah Scientifically  Logically and why do Muslims Circumambulate...,2022-07-14,17257,1022,202
yq13P0wcqsg,If Music is Haraam in Islam because it takes a Person away from the Remembrance of Allah then even..,2022-07-12,31957,1331,343
6_94gDzctgk,Why is there an Increase in Terrorist Organizations Amongst the Muslims? - Dr Zakir Naik,2022-07-05,19884,1116,327
t84VHnJbGx4,"Why did Allah give Hidaayah only to Cassius Clay, Sonny Bill Williams, Mike Tyson and some others...",2022-06-29,34656,1741,380
p0LLGZ6eFkI,Reply to Muslims who do not want to Give the Quran to Non Muslims because they are Unclean,2022-06-26,21593,972,317
hbeYl7oYfkM,Religious Clothings Change with Time. Why has the Burka worn by Muslim Women not Changed?,2022-06-21,17804,1022,255
jdrs_dEtG08,Falsification Test - 1 Do you want to Prove the Qur&#39;an wrong? - Dr Zakir Naik,2022-06-18,18770,1013,346
SXXTiyY0TkU,Every Religion Claims that they are Only Right  all others are Wrong. How do we know which is the,2022-06-15,19193,1130,447
bTVjQddyil4,How to Unite the Hindus and Muslims in India - Dr Zakir Naik,2022-06-13,25607,1386,332
f3QzaPLe7lE,Logical Reasons Why in Islam Women Inherit Half of what Men Inherit - Dr Zakir Naik,2022-06-12,19485,972,184
izc5Qpn5wkU,Should the Doctor&#39;s advise be Followed if it contradicts the Sunnah of the Prophet (pbuh)?,2022-05-18,19611,1006,183
j9ib-OYQ51k,How can I Repent to Allah? - Dr Zakir Naik,2022-04-30,21402,1415,140
_bhaH8KtF_4,One who is unable to fast to feed one person for 30 days or 30 people in one day? - Dr Zakir Naik,2022-04-29,13068,643,127
QV0X38IuWXU,When Exactly is Laylatul Qadr? - Dr Zakir Naik,2022-04-25,27817,1476,184
NjgfQ39DVXs,A Non‐Muslim Girl who is Suffering from Psoriasis since Childhood wants to Know Why is God Punishing,2022-04-22,27141,1290,164
Sz-FTaD9g8Y,Why are the colours of the Skin  Blood type of Human Beings different... – Fariq Naik,2022-04-21,19324,1141,140
DpExxt2Hwyo,Peace Conference – 6 Minutes,2022-04-20,21726,1577,250
Gc7yaGzg6No,What is the Definition of Allah? - Dr Zakir Naik,2022-04-19,36374,1765,271
dBLVDI2-iFY,Manju Singh Accepts Islam after asking the Differences in the Scriptures of Hinduism and Islam,2022-04-18,33003,1724,318
PZehxMB1SpA,Applying the Test of Science to the Quran and the Bible - Dr Zakir Naik,2022-04-16,30973,1587,429
nDbdE_v9ZUI,Can a Muslim work in a Conventional Bank? - Dr Zakir Naik,2022-04-14,28861,1810,291
CsY-mqlaPXs,How to seek Laylatul Qadr? - Dr Zakir Naik,2022-04-11,18803,1044,112
Ty_VwdymDEI,Do wet Dreams Nullify the Fast? - Dr Zakir Naik,2022-04-10,28985,1380,441
U09JoSoaOCk,Medical Benefits of Dates - Dr Zakir Naik,2022-04-08,35788,2056,345
